address_hex;address_dec;group;float_no;value_little
'00004400';17408;1;1;0.3949911296367645263671875000
'00004400';17408;1;2;0.1474001109600067138671875000
'00004400';17408;1;3;-0.0537353642284870147705078125
'00004400';17408;1;4;-0.0158557333052158355712890625
'00004400';17408;1;5;-0.0582896992564201354980468750
'00004400';17408;1;6;-0.0611789040267467498779296875
'00004400';17408;1;7;-0.0448088794946670532226562500
'00004400';17408;1;8;-0.0181529577821493148803710938
'00004400';17408;1;9;-0.0027114958502352237701416016
'00004400';17408;1;10;0.0166283845901489257812500000
'00004400';17408;1;11;0.0275954362004995346069335938
'00004400';17408;1;12;0.0305791608989238739013671875
'00004400';17408;1;13;0.0228237938135862350463867188
'00004400';17408;1;14;0.0048326775431632995605468750
'00004400';17408;1;15;-0.0062215598300099372863769531
'00004400';17408;1;16;-0.0169766601175069808959960938
'00004400';17408;1;17;-0.0142242331057786941528320312
'00004400';17408;1;18;-0.0191365517675876617431640625
'00004400';17408;1;19;-0.0047344630584120750427246094
'00004400';17408;1;20;0.0021474491804838180541992188
'00004400';17408;1;21;0.0152670070528984069824218750
'00004400';17408;1;22;0.0134529154747724533081054688
'00004400';17408;1;23;0.0185799077153205871582031250
'00004400';17408;1;24;0.0125934518873691558837890625
'00004400';17408;1;25;0.0140230413526296615600585938
'00004400';17408;1;26;0.0054678926244378089904785156
'00004400';17408;1;27;0.0052547818049788475036621094
'00004400';17408;1;28;-0.0028529523406177759170532227
'00004400';17408;1;29;-0.0034908542875200510025024414
'00004400';17408;1;30;-0.0083697931841015815734863281
'00004400';17408;1;31;-0.0063739344477653503417968750
'00004400';17408;1;32;-0.0084164803847670555114746094
'00004400';17408;1;33;-0.0040504364296793937683105469
'00004400';17408;1;34;-0.0033328921999782323837280273
'00004400';17408;1;35;-0.0005677742883563041687011719
'00004400';17408;1;36;-0.0039675375446677207946777344
'00004400';17408;1;37;-0.0034180982038378715515136719
'00004400';17408;1;38;-0.0043944423086941242218017578
'00004400';17408;1;39;-0.0030834735371172428131103516
'00004400';17408;1;40;-0.0035424800589680671691894531
'00004400';17408;1;41;-0.0019471703562885522842407227
'00004400';17408;1;42;-0.0026414289604872465133666992
'00004400';17408;1;43;-0.0018942082533612847328186035
'00004400';17408;1;44;-0.0016605416312813758850097656
'00004400';17408;1;45;-0.0002681508776731789112091064
'00004400';17408;1;46;-0.0000681786987115629017353058
'00004400';17408;1;47;-0.0001233346702065318822860718
'00004400';17408;1;48;-0.0012805333826690912246704102
'00004400';17408;1;49;-0.0012828712351620197296142578
'00004400';17408;1;50;-0.0013704649172723293304443359
'00004400';17408;1;51;-0.0018966133939102292060852051
'00004400';17408;1;52;-0.0030456883832812309265136719
'00004400';17408;1;53;-0.0045442990958690643310546875
'00004400';17408;1;54;-0.0045998045243322849273681641
'00004400';17408;1;55;-0.0047715306282043457031250000
'00004400';17408;1;56;-0.0045997742563486099243164062
'00004400';17408;1;57;-0.0033855838701128959655761719
'00004400';17408;1;58;-0.0022083909716457128524780273
'00004400';17408;1;59;-0.0017930241301655769348144531
'00004400';17408;1;60;-0.0014484617859125137329101562
'00004400';17408;1;61;-0.0013327528722584247589111328
'00004400';17408;1;62;-0.0016942125512287020683288574
'00004400';17408;1;63;-0.0028676067013293504714965820
'00004400';17408;1;64;-0.0036350344307720661163330078
'00004400';17408;1;65;-0.0036762834060937166213989258
'00004400';17408;1;66;-0.0034327062312513589859008789
'00004400';17408;1;67;-0.0033303059171885251998901367
'00004400';17408;1;68;-0.0037414354737848043441772461
'00004400';17408;1;69;-0.0041014114394783973693847656
'00004400';17408;1;70;-0.0042288280092179775238037109
'00004400';17408;1;71;-0.0046037374995648860931396484
'00004400';17408;1;72;-0.0046142162755131721496582031
'00004400';17408;1;73;-0.0041871606372296810150146484
'00004400';17408;1;74;-0.0040443548932671546936035156
'00004400';17408;1;75;-0.0048489486798644065856933594
'00004400';17408;1;76;-0.0049241706728935241699218750
'00004400';17408;1;77;-0.0044012134894728660583496094
'00004400';17408;1;78;-0.0045879553072154521942138672
'00004400';17408;1;79;-0.0053956219926476478576660156
'00004400';17408;1;80;-0.0061699375510215759277343750
'00004400';17408;1;81;-0.0065544275566935539245605469
'00004400';17408;1;82;-0.0064786234870553016662597656
'00004400';17408;1;83;-0.0064631244167685508728027344
'00004400';17408;1;84;-0.0067276530899107456207275391
'00004400';17408;1;85;-0.0067127188667654991149902344
'00004400';17408;1;86;-0.0060287960804998874664306641
'00004400';17408;1;87;-0.0053915013559162616729736328
'00004400';17408;1;88;-0.0043705985881388187408447266
'00004400';17408;1;89;-0.0034121242351830005645751953
'00004400';17408;1;90;-0.0033963092137128114700317383
'00004400';17408;1;91;-0.0033423565328121185302734375
'00004400';17408;1;92;-0.0033296903129667043685913086
'00004400';17408;1;93;-0.0032582320272922515869140625
'00004400';17408;1;94;-0.0028893938288092613220214844
'00004400';17408;1;95;-0.0027494423557072877883911133
'00004400';17408;1;96;-0.0024375505745410919189453125
'00004400';17408;1;97;-0.0017087706364691257476806641
'00004400';17408;1;98;-0.0010457832831889390945434570
'00004400';17408;1;99;-0.0010365437483415007591247559
'00004400';17408;1;100;-0.0014150203205645084381103516
'00004400';17408;1;101;-0.0011269220849499106407165527
'00004400';17408;1;102;-0.0008315495215356349945068359
'00004400';17408;1;103;-0.0007150781457312405109405518
'00004400';17408;1;104;-0.0002856067731045186519622803
'00004400';17408;1;105;0.0002002966793952509760856628
'00004400';17408;1;106;0.0003825879539363086223602295
'00004400';17408;1;107;0.0000245023584284354001283646
'00004400';17408;1;108;0.0001909459824673831462860107
'00004400';17408;1;109;0.0002076261444017291069030762
'00004400';17408;1;110;0.0002235206920886412262916565
'00004400';17408;1;111;0.0004971398157067596912384033
'00004400';17408;1;112;0.0010081434156745672225952148
'00004400';17408;1;113;0.0015463518211618065834045410
'00004400';17408;1;114;0.0017384632956236600875854492
'00004400';17408;1;115;0.0019076785538345575332641602
'00004400';17408;1;116;0.0018399490509182214736938477
'00004400';17408;1;117;0.0017837045015767216682434082
'00004400';17408;1;118;0.0020128248725086450576782227
'00004400';17408;1;119;0.0018939834553748369216918945
'00004400';17408;1;120;0.0017193744424730539321899414
'00004400';17408;1;121;0.0017275132704526185989379883
'00004400';17408;1;122;0.0018538036383688449859619141
'00004400';17408;1;123;0.0016080217901617288589477539
'00004400';17408;1;124;0.0015279781073331832885742188
'00004400';17408;1;125;0.0015962251927703619003295898
'00004400';17408;1;126;0.0017017422942444682121276855
'00004400';17408;1;127;0.0016584618715569376945495605
'00004400';17408;1;128;0.0017580507555976510047912598
'00004400';17408;1;129;0.0018792136106640100479125977
'00004400';17408;1;130;0.0019416790455579757690429688
'00004400';17408;1;131;0.0019948545377701520919799805
'00004400';17408;1;132;0.0022096263710409402847290039
'00004400';17408;1;133;0.0026415113825350999832153320
'00004400';17408;1;134;0.0028008369263261556625366211
'00004400';17408;1;135;0.0027073929086327552795410156
'00004400';17408;1;136;0.0025975578464567661285400391
'00004400';17408;1;137;0.0025891489349305629730224609
'00004400';17408;1;138;0.0026068338192999362945556641
'00004400';17408;1;139;0.0028904795181006193161010742
'00004400';17408;1;140;0.0032373976428061723709106445
'00004400';17408;1;141;0.0033195964060723781585693359
'00004400';17408;1;142;0.0033551538363099098205566406
'00004400';17408;1;143;0.0035650860518217086791992188
'00004400';17408;1;144;0.0037191212177276611328125000
'00004400';17408;1;145;0.0039351033046841621398925781
'00004400';17408;1;146;0.0039660199545323848724365234
'00004400';17408;1;147;0.0038661716971546411514282227
'00004400';17408;1;148;0.0038467282429337501525878906
'00004400';17408;1;149;0.0038249876815825700759887695
'00004400';17408;1;150;0.0038647360634058713912963867
'00004400';17408;1;151;0.0040852357633411884307861328
'00004400';17408;1;152;0.0044656875543296337127685547
'00004400';17408;1;153;0.0049981232732534408569335938
'00004400';17408;1;154;0.0050614587962627410888671875
'00004400';17408;1;155;0.0048439460806548595428466797
'00004400';17408;1;156;0.0045206840150058269500732422
'00004400';17408;1;157;0.0041647050529718399047851562
'00004400';17408;1;158;0.0038061847444623708724975586
'00004400';17408;1;159;0.0036621054168790578842163086
'00004400';17408;1;160;0.0036818704102188348770141602
'00004400';17408;1;161;0.0038935542106628417968750000
'00004400';17408;1;162;0.0040272371843457221984863281
'00004400';17408;1;163;0.0040709851309657096862792969
'00004400';17408;1;164;0.0039556869305670261383056641
'00004400';17408;1;165;0.0039418893866240978240966797
'00004400';17408;1;166;0.0037563811056315898895263672
'00004400';17408;1;167;0.0036329901777207851409912109
'00004400';17408;1;168;0.0035533376503735780715942383
'00004400';17408;1;169;0.0033799633383750915527343750
'00004400';17408;1;170;0.0033016789238899946212768555
'00004400';17408;1;171;0.0033921077847480773925781250
'00004400';17408;1;172;0.0033949050121009349822998047
'00004400';17408;1;173;0.0032339482568204402923583984
'00004400';17408;1;174;0.0029619249980896711349487305
'00004400';17408;1;175;0.0027724495157599449157714844
'00004400';17408;1;176;0.0026248861104249954223632812
'00004400';17408;1;177;0.0025431539397686719894409180
'00004400';17408;1;178;0.0024656592868268489837646484
'00004400';17408;1;179;0.0024304352700710296630859375
'00004400';17408;1;180;0.0023177228868007659912109375
'00004400';17408;1;181;0.0023049579467624425888061523
'00004400';17408;1;182;0.0021329617593437433242797852
'00004400';17408;1;183;0.0020687654614448547363281250
'00004400';17408;1;184;0.0019787105266004800796508789
'00004400';17408;1;185;0.0018503470346331596374511719
'00004400';17408;1;186;0.0016910614212974905967712402
'00004400';17408;1;187;0.0016516735777258872985839844
'00004400';17408;1;188;0.0015499885194003582000732422
'00004400';17408;1;189;0.0015888162888586521148681641
'00004400';17408;1;190;0.0016458209138363599777221680
'00004400';17408;1;191;0.0016000927425920963287353516
'00004400';17408;1;192;0.0015443422598764300346374512
'00004800';18432;1;1;0.0015739083755761384963989258
'00004800';18432;1;2;0.0016071336576715111732482910
'00004800';18432;1;3;0.0016087517142295837402343750
'00004800';18432;1;4;0.0015973441768437623977661133
'00004800';18432;1;5;0.0016269080806523561477661133
'00004800';18432;1;6;0.0015951222740113735198974609
'00004800';18432;1;7;0.0015997280133888125419616699
'00004800';18432;1;8;0.0015523843467235565185546875
'00004800';18432;1;9;0.0014141061110422015190124512
'00004800';18432;1;10;0.0013510026037693023681640625
'00004800';18432;1;11;0.0013098848285153508186340332
'00004800';18432;1;12;0.0013878219760954380035400391
'00004800';18432;1;13;0.0013887197710573673248291016
'00004800';18432;1;14;0.0013387933140620589256286621
'00004800';18432;1;15;0.0014105634763836860656738281
'00004800';18432;1;16;0.0015308044385164976119995117
'00004800';18432;1;17;0.0015465901233255863189697266
'00004800';18432;1;18;0.0013912274735048413276672363
'00004800';18432;1;19;0.0012349751777946949005126953
'00004800';18432;1;20;0.0011730964761227369308471680
'00004800';18432;1;21;0.0009329208987765014171600342
'00004800';18432;1;22;0.0008752331486903131008148193
'00004800';18432;1;23;0.0008765876991674304008483887
'00004800';18432;1;24;0.0008967026369646191596984863
'00004800';18432;1;25;0.0009418786503374576568603516
'00004800';18432;1;26;0.0008971563074737787246704102
'00004800';18432;1;27;0.0008333401638083159923553467
'00004800';18432;1;28;0.0008359472849406301975250244
'00004800';18432;1;29;0.0008951292838901281356811523
'00004800';18432;1;30;0.0009127733064815402030944824
'00004800';18432;1;31;0.0008703701314516365528106689
'00004800';18432;1;32;0.0007707389886491000652313232
'00004800';18432;1;33;0.0007041606586426496505737305
'00004800';18432;1;34;0.0006535323336720466613769531
'00004800';18432;1;35;0.0006514232372865080833435059
'00004800';18432;1;36;0.0006980884936638176441192627
'00004800';18432;1;37;0.0007008012034930288791656494
'00004800';18432;1;38;0.0006431898800656199455261230
'00004800';18432;1;39;0.0005880817188881337642669678
'00004800';18432;1;40;0.0005269296234473586082458496
'00004800';18432;1;41;0.0004648372996598482131958008
'00004800';18432;1;42;0.0004113995237275958061218262
'00004800';18432;1;43;0.0003769612812902778387069702
'00004800';18432;1;44;0.0003525161882862448692321777
'00004800';18432;1;45;0.0002964255108963698148727417
'00004800';18432;1;46;0.0002530488127376884222030640
'00004800';18432;1;47;0.0002264472423121333122253418
'00004800';18432;1;48;0.0002074114891001954674720764
'00004800';18432;1;49;0.0001971892052097246050834656
'00004800';18432;1;50;0.0001956011692527681589126587
'00004800';18432;1;51;0.0001775793352862820029258728
'00004800';18432;1;52;0.0001417161402059718966484070
'00004800';18432;1;53;0.0001154804995167069137096405
'00004800';18432;1;54;0.0000917426223168149590492249
'00004800';18432;1;55;0.0000743263808544725179672241
'00004800';18432;1;56;0.0000587029098824132233858109
'00004800';18432;1;57;0.0000424282370659057050943375
'00004800';18432;1;58;0.0000299421408271882683038712
'00004800';18432;1;59;0.0000227171240112511441111565
'00004800';18432;1;60;0.0000156435307872015982866287
'00004800';18432;1;61;0.0000078926068454165942966938
'00004800';18432;1;62;0.0000036054505017091287299991
'00004800';18432;1;63;0.0000016116889582917792722583
'00004800';18432;1;64;0.0000004059323543970094760880
'00004800';18432;1;65;0.0000000000161042793683785490
'00004800';18432;1;66;0.0000000034893790079593145492
'00004800';18432;1;67;0.0000000259273704728002485353
'00004800';18432;1;68;-0.0000000072036954179566237144
'00004800';18432;1;69;-0.0000001495388204375558416359
'00004800';18432;1;70;-0.0000002267843655090473475866
'00004800';18432;1;71;-0.0000009007882226796937175095
'00004800';18432;1;72;-0.0000008888657134775712620467
'00004800';18432;1;73;-0.0000007081606554493191652000
'00004800';18432;1;74;-0.0000028627241590584162622690
'00004800';18432;1;75;-0.0000007235662451421376317739
'00004800';18432;1;76;-0.0000046540926632587797939777
'00004800';18432;1;77;-0.0000034190991300420137122273
'00004800';18432;1;78;-0.0000015945252016535960137844
'00004800';18432;1;79;-0.0000086812424342497251927853
'00004800';18432;1;80;0.0000021873238438274711370468
'00004800';18432;1;81;-0.0000077182421591714955866337
'00004800';18432;1;82;0.0001007620812742970883846283
'00004800';18432;1;83;0.0002714757865760475397109985
'00004800';18432;1;84;0.0005763751687481999397277832
'00004800';18432;1;85;0.0011105398880317807197570801
'00004800';18432;1;86;0.0012439166894182562828063965
'00004800';18432;1;87;0.0016506373649463057518005371
'00004800';18432;1;88;0.0025358216371387243270874023
'00004800';18432;1;89;0.0030639641918241977691650391
'00004800';18432;1;90;0.0040631722658872604370117188
'00004800';18432;1;91;0.0045338203199207782745361328
'00004800';18432;1;92;0.0041419104672968387603759766
'00004800';18432;1;93;0.0049345595762133598327636719
'00004800';18432;1;94;0.0053151245228946208953857422
'00004800';18432;1;95;0.0044838488101959228515625000
'00004800';18432;1;96;0.0035238482523709535598754883
'00004800';18432;1;97;0.0024302953388541936874389648
'00004800';18432;1;98;0.0022625476121902465820312500
'00004800';18432;1;99;0.0017398076597601175308227539
'00004800';18432;1;100;0.0009731271420605480670928955
'00004800';18432;1;101;0.0011720854090526700019836426
'00004800';18432;1;102;0.0001621620758669450879096985
'00004800';18432;1;103;-0.0009589192923158407211303711
'00004800';18432;1;104;-0.0018127817893400788307189941
'00004800';18432;1;105;-0.0029171418864279985427856445
'00004800';18432;1;106;-0.0031394944526255130767822266
'00004800';18432;1;107;-0.0038124835118651390075683594
'00004800';18432;1;108;-0.0044852355495095252990722656
'00004800';18432;1;109;-0.0044803693890571594238281250
'00004800';18432;1;110;-0.0045749442651867866516113281
'00004800';18432;1;111;-0.0052406522445380687713623047
'00004800';18432;1;112;-0.0056175673380494117736816406
'00004800';18432;1;113;-0.0058988849632441997528076172
'00004800';18432;1;114;-0.0058117727749049663543701172
'00004800';18432;1;115;-0.0045886649750173091888427734
'00004800';18432;1;116;-0.0043030190281569957733154297
'00004800';18432;1;117;-0.0044347890652716159820556641
'00004800';18432;1;118;-0.0034366778563708066940307617
'00004800';18432;1;119;-0.0021115255076438188552856445
'00004800';18432;1;120;-0.0016678017564117908477783203
'00004800';18432;1;121;-0.0003443884197622537612915039
'00004800';18432;1;122;0.0009380846749991178512573242
'00004800';18432;1;123;0.0018163756467401981353759766
'00004800';18432;1;124;0.0032501867972314357757568359
'00004800';18432;1;125;0.0028702400159090757369995117
'00004800';18432;1;126;0.0034713209606707096099853516
'00004800';18432;1;127;0.0038804330397397279739379883
'00004800';18432;1;128;0.0032052872702479362487792969
'00004800';18432;1;129;0.0032965973950922489166259766
'00004800';18432;1;130;0.0027748895809054374694824219
'00004800';18432;1;131;0.0032906415872275829315185547
'00004800';18432;1;132;0.0027201457414776086807250977
'00004800';18432;1;133;0.0020330543629825115203857422
'00004800';18432;1;134;0.0025479891337454319000244141
'00004800';18432;1;135;0.0012972055701538920402526855
'00004800';18432;1;136;0.0006067504873499274253845215
'00004800';18432;1;137;0.0002527949109207838773727417
'00004800';18432;1;138;-0.0008630882948637008666992188
'00004800';18432;1;139;-0.0014761723577976226806640625
'00004800';18432;1;140;-0.0019685085862874984741210938
'00004800';18432;1;141;-0.0023667162749916315078735352
'00004800';18432;1;142;-0.0025334984529763460159301758
'00004800';18432;1;143;-0.0023526039440184831619262695
'00004800';18432;1;144;-0.0024501960724592208862304688
'00004800';18432;1;145;-0.0021927508059889078140258789
