block_address;float_no;value_little
0000DC00;1;0.0026467097923159599304199219
0000DC00;2;0.0027313092723488807678222656
0000DC00;3;0.0028027875814586877822875977
0000DC00;4;0.0028105708770453929901123047
0000DC00;5;0.0027240803465247154235839844
0000DC00;6;0.0025971229188144207000732422
0000DC00;7;0.0024887993931770324707031250
0000DC00;8;0.0023876521736383438110351562
0000DC00;9;0.0023720865137875080108642578
0000DC00;10;0.0022815389093011617660522461
0000DC00;11;0.0021833523642271757125854492
0000DC00;12;0.0021013093646615743637084961
0000DC00;13;0.0020944781135767698287963867
0000DC00;14;0.0021146822255104780197143555
0000DC00;15;0.0020877690985798835754394531
0000DC00;16;0.0020174360834062099456787109
0000DC00;17;0.0019259080290794372558593750
0000DC00;18;0.0019411253742873668670654297
0000DC00;19;0.0019893792923539876937866211
0000DC00;20;0.0020266810897737741470336914
0000DC00;21;0.0021171539556235074996948242
0000DC00;22;0.0022891396656632423400878906
0000DC00;23;0.0024236608296632766723632812
0000DC00;24;0.0024700346402823925018310547
0000DC00;25;0.0025561987422406673431396484
0000DC00;26;0.0026766099035739898681640625
0000DC00;27;0.0027214733418077230453491211
0000DC00;28;0.0026794872246682643890380859
0000DC00;29;0.0026658945716917514801025391
0000DC00;30;0.0027358271181583404541015625
0000DC00;31;0.0028268878813832998275756836
0000DC00;32;0.0029858886264264583587646484
0000DC00;33;0.0030984079930931329727172852
0000DC00;34;0.0031217606738209724426269531
0000DC00;35;0.0031190221197903156280517578
0000DC00;36;0.0030985770281404256820678711
0000DC00;37;0.0029891314916312694549560547
0000DC00;38;0.0028262697160243988037109375
0000DC00;39;0.0027374259661883115768432617
0000DC00;40;0.0027780702803283929824829102
0000DC00;41;0.0028134961612522602081298828
0000DC00;42;0.0027548032812774181365966797
0000DC00;43;0.0027244279626756906509399414
0000DC00;44;0.0027347542345523834228515625
0000DC00;45;0.0027378629893064498901367188
0000DC00;46;0.0026526749134063720703125000
0000DC00;47;0.0025264627765864133834838867
0000DC00;48;0.0023706159554421901702880859
0000DC00;49;0.0021803060080856084823608398
0000DC00;50;0.0019466129597276449203491211
0000DC00;51;0.0016497822944074869155883789
0000DC00;52;0.0013564298860728740692138672
0000DC00;53;0.0010607342701405286788940430
0000DC00;54;0.0007823671330697834491729736
0000DC00;55;0.0005338791524991393089294434
0000DC00;56;0.0003509171947371214628219604
0000DC00;57;0.0001975513732759281992912292
0000DC00;58;0.0000386383762815967202186584
0000DC00;59;-0.0000746616424294188618659973
0000DC00;60;-0.0001841917983256280422210693
0000DC00;61;-0.0002659338642843067646026611
0000DC00;62;-0.0003602094657253473997116089
0000DC00;63;-0.0004313221434131264686584473
0000DC00;64;-0.0004922434454783797264099121
0000DC00;65;-0.0005642955657094717025756836
0000DC00;66;-0.0006526778452098369598388672
0000DC00;67;-0.0007492886506952345371246338
0000DC00;68;-0.0009036038536578416824340820
