block_address;float_no;value_little
000CBC00;1;-0.0043469993397593498229980469
000CBC00;2;-0.0049426523037254810333251953
000CBC00;3;-0.0041651530191302299499511719
000CBC00;4;-0.0036390062887221574783325195
000CBC00;5;-0.0036268308758735656738281250
000CBC00;6;-0.0031729284673929214477539062
000CBC00;7;-0.0029948230367153882980346680
000CBC00;8;-0.0025172112509608268737792969
000CBC00;9;-0.0021824990399181842803955078
000CBC00;10;-0.0024195394944399595260620117
000CBC00;11;-0.0027397572994232177734375000
000CBC00;12;-0.0026859205681830644607543945
000CBC00;13;-0.0022715455852448940277099609
000CBC00;14;-0.0024360076058655977249145508
000CBC00;15;-0.0027408457826822996139526367
000CBC00;16;-0.0028936662711203098297119141
000CBC00;17;-0.0032195777166634798049926758
000CBC00;18;-0.0031042164191603660583496094
000CBC00;19;-0.0031286189332604408264160156
000CBC00;20;-0.0035826158709824085235595703
000CBC00;21;-0.0041227093897759914398193359
000CBC00;22;-0.0043436805717647075653076172
000CBC00;23;-0.0044127725996077060699462891
000CBC00;24;-0.0046342052519321441650390625
000CBC00;25;-0.0045039434917271137237548828
000CBC00;26;-0.0046024611219763755798339844
000CBC00;27;-0.0048341401852667331695556641
000CBC00;28;-0.0045523690059781074523925781
000CBC00;29;-0.0043487278744578361511230469
000CBC00;30;-0.0044302828609943389892578125
000CBC00;31;-0.0042229280807077884674072266
000CBC00;32;-0.0040336642414331436157226562
000CBC00;33;-0.0040648980066180229187011719
000CBC00;34;-0.0039315009489655494689941406
000CBC00;35;-0.0039754942990839481353759766
000CBC00;36;-0.0040661036036908626556396484
000CBC00;37;-0.0036868427414447069168090820
000CBC00;38;-0.0035767015069723129272460938
000CBC00;39;-0.0039334543980658054351806641
000CBC00;40;-0.0033648936077952384948730469
000CBC00;41;-0.0025882008485496044158935547
000CBC00;42;-0.0024751836899667978286743164
000CBC00;43;-0.0023184146266430616378784180
000CBC00;44;-0.0021681869402527809143066406
000CBC00;45;-0.0020165790338069200515747070
000CBC00;46;-0.0019347163615748286247253418
000CBC00;47;-0.0016150653827935457229614258
000CBC00;48;-0.0016954338643699884414672852
000CBC00;49;-0.0018554299604147672653198242
000CBC00;50;-0.0014978449326008558273315430
000CBC00;51;-0.0014131834032014012336730957
000CBC00;52;-0.0010550291044637560844421387
000CBC00;53;-0.0007457983447238802909851074
000CBC00;54;-0.0009121519979089498519897461
000CBC00;55;-0.0010618070373311638832092285
000CBC00;56;-0.0012125506764277815818786621
000CBC00;57;-0.0013286315370351076126098633
000CBC00;58;-0.0012578031746670603752136230
000CBC00;59;-0.0012204758822917938232421875
000CBC00;60;-0.0011615348048508167266845703
000CBC00;61;-0.0009495808044448494911193848
000CBC00;62;-0.0011358488118276000022888184
000CBC00;63;-0.0015719552757218480110168457
000CBC00;64;-0.0018343888223171234130859375
000CBC00;65;-0.0020017263013869524002075195
000CBC00;66;-0.0020708984229713678359985352
000CBC00;67;-0.0022089318372309207916259766
000CBC00;68;-0.0022961753420531749725341797
000CBC00;69;-0.0025713206268846988677978516
000CBC00;70;-0.0029349247924983501434326172
000CBC00;71;-0.0029768538661301136016845703
000CBC00;72;-0.0032148605678230524063110352
000CBC00;73;-0.0035682599991559982299804688
000CBC00;74;-0.0035131690092384815216064453
000CBC00;75;-0.0034535899758338928222656250
000CBC00;76;-0.0034849729854613542556762695
000CBC00;77;-0.0034535808954387903213500977
000CBC00;78;-0.0034466646611690521240234375
000CBC00;79;-0.0033950887154787778854370117
000CBC00;80;-0.0035028529819101095199584961
000CBC00;81;-0.0034582805819809436798095703
000CBC00;82;-0.0031887788791209459304809570
000CBC00;83;-0.0030056687537580728530883789
000CBC00;84;-0.0027426644228398799896240234
000CBC00;85;-0.0025130230933427810668945312
000CBC00;86;-0.0023022580426186323165893555
000CBC00;87;-0.0019909334369003772735595703
000CBC00;88;-0.0017717677401378750801086426
000CBC00;89;-0.0017193243838846683502197266
000CBC00;90;-0.0016085581155493855476379395
000CBC00;91;-0.0013268514303490519523620605
000CBC00;92;-0.0009421202121302485466003418
000CBC00;93;-0.0006979451864026486873626709
000CBC00;94;-0.0005931554478593170642852783
000CBC00;95;-0.0004622687411028891801834106
000CBC00;96;-0.0003473170509096235036849976
000CBC00;97;-0.0000580751257075462490320206
000CBC00;98;0.0001003546640276908874511719
000CBC00;99;0.0003692564205266535282135010
000CBC00;100;0.0007483710069209337234497070
000CBC00;101;0.0006287529831752181053161621
000CBC00;102;0.0007556116906926035881042480
000CBC00;103;0.0010053403675556182861328125
000CBC00;104;0.0009213776211254298686981201
000CBC00;105;0.0010812107939273118972778320
000CBC00;106;0.0012588502140715718269348145
000CBC00;107;0.0012220012722536921501159668
000CBC00;108;0.0012503626057878136634826660
000CBC00;109;0.0013294520322233438491821289
000CBC00;110;0.0013288178015500307083129883
000CBC00;111;0.0012879708083346486091613770
000CBC00;112;0.0011659656884148716926574707
000CBC00;113;0.0008392417221330106258392334
000CBC00;114;0.0007499795174226164817810059
000CBC00;115;0.0007006090017966926097869873
000CBC00;116;0.0003793732612393796443939209
000CBC00;117;0.0003091675462201237678527832
000CBC00;118;0.0002013495832215994596481323
000CBC00;119;0.0000274303656624397262930870
000CBC00;120;-0.0000650726069579832255840302
000CBC00;121;-0.0002263875212520360946655273
000CBC00;122;-0.0004617670783773064613342285
000CBC00;123;-0.0006984130013734102249145508
000CBC00;124;-0.0007654714863747358322143555
000CBC00;125;-0.0008111869683489203453063965
000CBC00;126;-0.0008311972487717866897583008
000CBC00;127;-0.0008357327897101640701293945
000CBC00;128;-0.0009324995335191488265991211
000CBC00;129;-0.0009248408023267984390258789
000CBC00;130;-0.0007886986713856458663940430
000CBC00;131;-0.0009356935042887926101684570
000CBC00;132;-0.0009598760516382753849029541
000CBC00;133;-0.0008694876451045274734497070
000CBC00;134;-0.0008385003893636167049407959
000CBC00;135;-0.0005808359710499644279479980
000CBC00;136;-0.0006040743319317698478698730
000CBC00;137;-0.0005920202820561826229095459
000CBC00;138;-0.0005266233347356319427490234
000CBC00;139;-0.0003958517627324908971786499
000CBC00;140;-0.0001111918099923059344291687
000CBC00;141;-0.0001445467933081090450286865
000CBC00;142;-0.0001250461500603705644607544
000CBC00;143;-0.0000361635575245600193738937
000CBC00;144;0.0000306551555695477873086929
000CBC00;145;0.0001339431473752483725547791
000CBC00;146;0.0002976699033752083778381348
000CBC00;147;0.0003205971734132617712020874
000CBC00;148;0.0001969642180483788251876831
000CBC00;149;0.0003335721557959914207458496
000CBC00;150;0.0004666592867579311132431030
000CBC00;151;0.0005115987150929868221282959
000CBC00;152;0.0005531545029953122138977051
000CBC00;153;0.0005372383166104555130004883
000CBC00;154;0.0005932187195867300033569336
000CBC00;155;0.0006091080722399055957794189
000CBC00;156;0.0005857217474840581417083740
000CBC00;157;0.0005677711451426148414611816
000CBC00;158;0.0004754056280944496393203735
000CBC00;159;0.0004383833438623696565628052
000CBC00;160;0.0004485504759941250085830688
000CBC00;161;0.0004803276387974619865417480
000CBC00;162;0.0005142808076925575733184814
000CBC00;163;0.0004856274463236331939697266
000CBC00;164;0.0004831124388147145509719849
000CBC00;165;0.0004591246834024786949157715
000CBC00;166;0.0004082808736711740493774414
000CBC00;167;0.0003979087050538510084152222
000CBC00;168;0.0003976754378527402877807617
000CBC00;169;0.0003683023969642817974090576
000CBC00;170;0.0003596956375986337661743164
000CBC00;171;0.0003292607434559613466262817
000CBC00;172;0.0002673684793990105390548706
000CBC00;173;0.0002605438348837196826934814
000CBC00;174;0.0002406452549621462821960449
000CBC00;175;0.0002161196753149852156639099
000CBC00;176;0.0002021105028688907623291016
000CBC00;177;0.0001739800791256129741668701
000CBC00;178;0.0001427590759703889489173889
000CBC00;179;0.0001266311737708747386932373
000CBC00;180;0.0001254230301128700375556946
000CBC00;181;0.0001038749323925003409385681
000CBC00;182;0.0000815696694189682602882385
000CBC00;183;0.0000714036723366007208824158
000CBC00;184;0.0000599900922679807990789413
000CBC00;185;0.0000464207478216849267482758
000CBC00;186;0.0000346273154718801379203796
000CBC00;187;0.0000250150897045386955142021
000CBC00;188;0.0000154073859448544681072235
000CBC00;189;0.0000094410670499200932681561
000CBC00;190;0.0000055368332141370046883821
000CBC00;191;0.0000021937214569334173575044
000CBC00;192;0.0000004929457304569950792938
